category,k,match_rate_did,match_rate_did_se,net_welfare_did,net_welfare_did_se,lambda_star_standard,lambda_star_ai
easy,1,0.0,0.001,0.0,0.001,0.03,0.03
easy,2,-0.001,0.001,-0.0,0.001,0.0302,0.0303
easy,3,0.003,0.001,0.002,0.001,0.0286,0.0284
easy,5,0.001,0.001,0.0,0.001,0.0207,0.0207
easy,10,-0.0,0.001,-0.0,0.0,0.004,0.0042
easy,15,-0.0,0.001,-0.0,0.0,0.0024,0.0026
easy,20,-0.0,0.001,-0.0,0.0,0.0024,0.0026
easy,30,-0.0,0.001,-0.0,0.0,0.0024,0.0026
hard,1,-0.002,0.001,-0.002,0.001,0.0278,0.028
hard,2,0.0,0.002,-0.0,0.001,0.0276,0.0277
hard,3,-0.001,0.002,-0.001,0.001,0.0253,0.0255
hard,5,0.001,0.002,0.0,0.001,0.0166,0.0166
hard,10,-0.001,0.001,-0.001,0.001,0.0026,0.0028
hard,15,-0.001,0.001,-0.001,0.001,0.0014,0.0017
hard,20,-0.001,0.001,-0.001,0.001,0.0014,0.0017
hard,30,-0.001,0.001,-0.001,0.001,0.0014,0.0017
